	Country	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism
45	Group_46	3.362173038229376	1.971830985915493	4.240442655935614	3.353118712273642	4.210261569416499	3.642857142857143	2.2162977867203217	4.175050301810865	2.969818913480885	2.2139503688799462
46	Group_47	2.586322869955157	3.218609865470852	4.06390134529148	2.688340807174888	2.661434977578476	2.0448430493273544	2.4775784753363226	3.5269058295964126	3.954035874439463	3.3094170403587446
47	Group_48	1.9782157676348548	2.1867219917012446	2.199170124481328	4.155601659751038	2.3796680497925307	1.646265560165975	1.910788381742738	3.870331950207469	3.2437759336099585	2.171161825726141
48	Group_49	3.0122767857142856	1.890625	2.993303571428571	3.6361607142857135	4.034598214285714	3.6049107142857135	1.823660714285714	2.608258928571429	3.302455357142857	1.8995535714285716
49	Group_50	1.5751879699248124	2.196741854636592	4.4636591478696745	1.68671679197995	2.1842105263157894	1.824561403508772	1.4385964912280698	1.8934837092731835	4.676691729323309	2.4223057644110275
50	Group_51	4.685286103542236	2.581743869209809	3.8719346049046326	4.577656675749318	4.848773841961853	2.407356948228883	2.4482288828337877	4.743869209809264	4.051771117166213	2.461398728428701
51	Group_52	2.837471783295711	2.215575620767494	2.278781038374718	4.063205417607223	2.8577878103837477	1.87979683972912	2.599887133182844	3.8188487584650113	2.1360045146726865	2.209556057185854
52	Group_53	2.838323353293413	1.960079840319361	3.465069860279441	4.795409181636726	3.745508982035928	1.884231536926148	2.6457085828343314	4.728542914171657	2.2205588822355287	2.177312042581504
53	Group_54	4.125581395348838	1.4174418604651164	2.366279069767442	1.7802325581395346	4.45	1.8209302325581396	1.6918604651162783	2.0313953488372096	1.938372093023256	1.5705426356589147
54	Group_55	1.8766730401529643	1.7667304015296368	1.8957934990439769	1.8585086042065009	1.8943594646271515	1.7868068833652009	1.8838432122370927	1.9192160611854687	1.7758126195028685	1.9200127469725936
55	Group_56	2.4623931623931625	1.6615384615384614	1.9726495726495727	2.1658119658119657	2.794017094017094	1.5931623931623928	3.404273504273504	3.08034188034188	1.982051282051282	1.858689458689459
